Date;200WMA
2022-10-25 00:00:00+00:00;23815.139412841796
2022-11-01 00:00:00+00:00;23899.388681640627
2022-11-08 00:00:00+00:00;23963.3907421875
2022-11-15 00:00:00+00:00;24026.844833984374
2022-11-22 00:00:00+00:00;24091.148139648438
2022-11-29 00:00:00+00:00;24159.48050415039
2022-12-06 00:00:00+00:00;24226.550529785156
2022-12-13 00:00:00+00:00;24291.971231689455
2022-12-20 00:00:00+00:00;24357.129025878905
2022-12-27 00:00:00+00:00;24421.01854736328
2023-01-03 00:00:00+00:00;24486.716270751953
2023-01-10 00:00:00+00:00;24570.99411987305
2023-01-17 00:00:00+00:00;24664.48535888672
2023-01-24 00:00:00+00:00;24762.831169433593
2023-01-31 00:00:00+00:00;24851.615014648436
2023-02-07 00:00:00+00:00;24934.717419433593
2023-02-14 00:00:00+00:00;25029.782976074217
2023-02-21 00:00:00+00:00;25121.163344726563
2023-02-28 00:00:00+00:00;25204.362370605468
2023-03-07 00:00:00+00:00;25280.320258789063
2023-03-14 00:00:00+00:00;25379.52519042969
2023-03-21 00:00:00+00:00;25476.13076171875
2023-03-28 00:00:00+00:00;25573.412514648437
2023-04-04 00:00:00+00:00;25676.6373828125
2023-04-11 00:00:00+00:00;25783.24171875
2023-04-18 00:00:00+00:00;25866.921787109375
2023-04-25 00:00:00+00:00;25959.18004394531
2023-05-02 00:00:00+00:00;26044.200703125
2023-05-09 00:00:00+00:00;26127.573603515626
2023-05-16 00:00:00+00:00;26208.34720703125
2023-05-23 00:00:00+00:00;26301.011137695314
2023-05-30 00:00:00+00:00;26381.755546875
2023-06-06 00:00:00+00:00;26453.838491210936
2023-06-13 00:00:00+00:00;26533.79050292969
2023-06-20 00:00:00+00:00;26635.49922363281
2023-06-27 00:00:00+00:00;26739.813217773437
2023-07-04 00:00:00+00:00;26838.4630078125
2023-07-11 00:00:00+00:00;26937.970107421876
2023-07-18 00:00:00+00:00;27038.04083984375
2023-07-25 00:00:00+00:00;27143.896455078124
2023-08-01 00:00:00+00:00;27249.164953613283
2023-08-08 00:00:00+00:00;27353.974494628907
2023-08-15 00:00:00+00:00;27443.81202392578
2023-08-22 00:00:00+00:00;27526.501916503905
2023-08-29 00:00:00+00:00;27610.17297607422
2023-09-05 00:00:00+00:00;27694.05647705078
2023-09-12 00:00:00+00:00;27783.837536621093
2023-09-19 00:00:00+00:00;27879.882082519533
2023-09-26 00:00:00+00:00;27982.67937011719
2023-10-03 00:00:00+00:00;28084.533093261718
2023-10-10 00:00:00+00:00;28184.569846191407
2023-10-17 00:00:00+00:00;28296.981384277344
2023-10-24 00:00:00+00:00;28432.56052246094
2023-10-31 00:00:00+00:00;28570.750712890625
2023-11-07 00:00:00+00:00;28715.06083984375
2023-11-14 00:00:00+00:00;28858.462348632813
2023-11-21 00:00:00+00:00;29002.873803710936
2023-11-28 00:00:00+00:00;29156.043930664062
2023-12-05 00:00:00+00:00;29324.35905761719
2023-12-12 00:00:00+00:00;29481.510209960936
2023-12-19 00:00:00+00:00;29646.968217773436
2023-12-26 00:00:00+00:00;29815.481884765624
2024-01-02 00:00:00+00:00;29994.656791992187
2024-01-09 00:00:00+00:00;30176.676564941405
2024-01-16 00:00:00+00:00;30355.254216308593
2024-01-23 00:00:00+00:00;30535.821970214845
2024-01-30 00:00:00+00:00;30714.784233398437
2024-02-06 00:00:00+00:00;30921.398364257813
2024-02-13 00:00:00+00:00;31146.063974609377
2024-02-20 00:00:00+00:00;31366.330830078125
2024-02-27 00:00:00+00:00;31637.680341796877
2024-03-05 00:00:00+00:00;31938.997133789064
2024-03-12 00:00:00+00:00;32232.5965625
2024-03-19 00:00:00+00:00;32524.81558105469
2024-03-26 00:00:00+00:00;32834.178530273435
2024-04-02 00:00:00+00:00;33132.19704101563
2024-04-09 00:00:00+00:00;33413.95673339844
2024-04-16 00:00:00+00:00;33692.071806640626
2024-04-23 00:00:00+00:00;33961.92004882813
2024-04-30 00:00:00+00:00;34236.70600097656
2024-05-07 00:00:00+00:00;34497.565473632814
2024-05-14 00:00:00+00:00;34783.02822265625
2024-05-21 00:00:00+00:00;35076.09285644531
2024-05-28 00:00:00+00:00;35359.58279296875
2024-06-04 00:00:00+00:00;35649.44405761719
2024-06-11 00:00:00+00:00;35923.1752734375
2024-06-18 00:00:00+00:00;36180.75501953125
2024-06-25 00:00:00+00:00;36435.58895507813
2024-07-02 00:00:00+00:00;36663.43274414063
2024-07-09 00:00:00+00:00;36915.7529296875
2024-07-16 00:00:00+00:00;37201.834189453126
2024-07-23 00:00:00+00:00;37489.23717773437
2024-07-30 00:00:00+00:00;37726.47414550781
2024-08-06 00:00:00+00:00;37963.150659179686
2024-08-13 00:00:00+00:00;38198.15368652344
2024-08-20 00:00:00+00:00;38454.665532226565
2024-08-27 00:00:00+00:00;38672.607426757815
2024-09-03 00:00:00+00:00;38869.417421875
2024-09-10 00:00:00+00:00;39085.55366210938
2024-09-17 00:00:00+00:00;39311.94720703125
2024-09-24 00:00:00+00:00;39549.23630859375
2024-10-01 00:00:00+00:00;39766.60546875
